timestamp_body,ax_body,ay_body,az_body,gx_body,gy_body,gz_body,times_clock_body,5 x deep breath,5 x deep breath_notes
705886902,2.3,3.59,-8.88,-1.61,-4.13,-0.07,2024-06-07 15:22:15.031743,0,
705886906,2.27,3.58,-8.88,-1.33,-3.85,-0.14,2024-06-07 15:22:15.031743,0,
705886911,2.3,3.6,-8.87,-1.05,-3.5,-0.14,2024-06-07 15:22:15.031743,0,
705886916,2.29,3.6,-8.83,-0.91,-3.22,-0.07,2024-06-07 15:22:15.031743,0,
705886921,2.27,3.57,-8.81,-0.7,-3.15,-0.07,2024-06-07 15:22:15.031743,0,
705886926,2.3,3.53,-8.81,-0.49,-3.15,-0.07,2024-06-07 15:22:15.031743,0,
705886930,2.25,3.54,-8.83,-0.49,-3.08,0.0,2024-06-07 15:22:15.031743,0,
705886935,2.29,3.57,-8.79,-0.56,-3.08,0.07,2024-06-07 15:22:15.031743,0,
705886941,2.27,3.55,-8.78,-0.56,-3.15,0.07,2024-06-07 15:22:15.076619,0,
705886945,2.28,3.52,-8.77,-0.56,-3.36,0.07,2024-06-07 15:22:15.077587,0,
705886950,2.23,3.53,-8.78,-0.63,-3.29,0.14,2024-06-07 15:22:15.077587,0,
705886955,2.24,3.52,-8.74,-0.56,-3.22,0.0,2024-06-07 15:22:15.077587,0,
705886960,2.24,3.51,-8.81,-0.42,-3.22,-0.07,2024-06-07 15:22:15.077587,0,
705886965,2.28,3.54,-8.74,-0.28,-3.22,-0.07,2024-06-07 15:22:15.077587,0,
705886969,2.26,3.55,-8.84,-0.28,-3.15,-0.07,2024-06-07 15:22:15.077587,0,
705886974,2.27,3.56,-8.72,-0.28,-3.15,0.0,2024-06-07 15:22:15.077587,0,
705886980,2.3,3.52,-8.78,-0.28,-3.15,0.0,2024-06-07 15:22:15.106490,0,
705886984,2.27,3.51,-8.79,-0.21,-3.08,0.0,2024-06-07 15:22:15.106490,0,
705886989,2.3,3.52,-8.83,-0.42,-3.08,0.07,2024-06-07 15:22:15.106490,0,
705886994,2.29,3.52,-8.83,-0.49,-3.08,-0.28,2024-06-07 15:22:15.106490,0,
705886999,2.29,3.5,-8.79,-0.42,-3.15,-0.21,2024-06-07 15:22:15.106490,0,
705887004,2.28,3.53,-8.81,-0.63,-3.22,-0.14,2024-06-07 15:22:15.106490,0,
705887008,2.32,3.49,-8.81,-0.77,-3.43,-0.07,2024-06-07 15:22:15.106490,0,
705887013,2.27,3.54,-8.81,-0.84,-3.64,-0.21,2024-06-07 15:22:15.106490,0,
705887020,2.23,3.53,-8.79,-0.91,-3.71,-0.21,2024-06-07 15:22:15.152338,0,
705887024,2.26,3.52,-8.8,-0.77,-3.78,-0.14,2024-06-07 15:22:15.152338,0,
705887029,2.24,3.55,-8.77,-0.91,-3.71,-0.14,2024-06-07 15:22:15.152338,0,
705887034,2.27,3.54,-8.78,-0.84,-3.71,-0.14,2024-06-07 15:22:15.152338,0,
705887039,2.23,3.52,-8.83,-0.77,-3.64,-0.07,2024-06-07 15:22:15.152338,0,
705887044,2.25,3.52,-8.76,-0.63,-3.64,-0.14,2024-06-07 15:22:15.152338,0,
705887048,2.27,3.53,-8.77,-0.77,-3.57,-0.21,2024-06-07 15:22:15.152338,0,
705887053,2.24,3.54,-8.77,-0.63,-3.43,-0.07,2024-06-07 15:22:15.152338,0,
705887059,2.23,3.5,-8.79,-0.35,-3.22,-0.14,2024-06-07 15:22:15.197082,0,
705887063,2.23,3.48,-8.78,-0.42,-3.22,-0.14,2024-06-07 15:22:15.197082,0,
705887068,2.23,3.53,-8.78,-0.35,-3.15,-0.14,2024-06-07 15:22:15.197082,0,
705887073,2.26,3.52,-8.8,-0.42,-3.22,-0.07,2024-06-07 15:22:15.197082,0,
705887078,2.25,3.51,-8.74,-0.56,-3.22,-0.07,2024-06-07 15:22:15.197082,0,
705887083,2.27,3.53,-8.79,-0.7,-3.36,-0.07,2024-06-07 15:22:15.197082,0,
705887087,2.26,3.54,-8.81,-0.63,-3.36,-0.14,2024-06-07 15:22:15.197082,0,
705887092,2.24,3.56,-8.77,-0.77,-3.22,-0.21,2024-06-07 15:22:15.197082,0,
705887098,2.28,3.53,-8.79,-0.7,-3.43,-0.07,2024-06-07 15:22:15.227342,0,
705887102,2.32,3.54,-8.72,-0.49,-3.57,0.0,2024-06-07 15:22:15.227342,0,
705887107,2.28,3.56,-8.78,-0.21,-3.71,0.0,2024-06-07 15:22:15.227342,0,
705887112,2.25,3.53,-8.73,-0.28,-3.64,0.0,2024-06-07 15:22:15.227342,0,
705887117,2.24,3.53,-8.81,-0.28,-3.71,0.07,2024-06-07 15:22:15.227342,0,
705887122,2.23,3.53,-8.79,-0.63,-3.71,-0.14,2024-06-07 15:22:15.227342,0,
705887126,2.24,3.53,-8.73,-0.84,-3.5,-0.14,2024-06-07 15:22:15.227342,0,
705887131,2.22,3.54,-8.7,-0.7,-3.57,-0.07,2024-06-07 15:22:15.227342,0,
705887137,2.22,3.56,-8.73,-0.28,-3.43,0.0,2024-06-07 15:22:15.271825,0,
705887141,2.18,3.53,-8.72,0.07,-3.29,0.07,2024-06-07 15:22:15.271825,0,
705887146,2.2,3.52,-8.69,0.35,-3.08,0.14,2024-06-07 15:22:15.271825,0,
705887151,2.22,3.49,-8.76,0.49,-3.01,0.0,2024-06-07 15:22:15.271825,0,
705887156,2.23,3.55,-8.77,0.35,-2.8,0.07,2024-06-07 15:22:15.271825,0,
